grupo_economico,variavel,janeiro_2019,fevereiro_2019,marco_2019,abril_2019,maio_2019,junho_2019,julho_2019,agosto_2019,setembro_2019,outubro_2019,novembro_2019,dezembro_2019,tipo_servico
ALGAR,Indicador de Desempenho no Atendimento (IDA),58.087,81.546,70.244,75.606,,,,,,,,,SCM
NET,Indicador de Desempenho no Atendimento (IDA),77.406,78.418,79.269,82.283,,,,,,,,,SCM
OI,Indicador de Desempenho no Atendimento (IDA),47.402,53.925,52.073,49.938,,,,,,,,,SCM
SERCOMTEL,Indicador de Desempenho no Atendimento (IDA),83.825,78.394,69.083,84.411,,,,,,,,,SCM
SKY,Indicador de Desempenho no Atendimento (IDA),26.422,34.477,35.274,34.471,,,,,,,,,SCM
TIM,Indicador de Desempenho no Atendimento (IDA),0.0,0.0,0.0,0.0,,,,,,,,,SCM
VIVO,Indicador de Desempenho no Atendimento (IDA),62.861,69.583,68.485,65.331,,,,,,,,,SCM
